Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,AvgMonthlySpend
27,0,41,3,15320,233,65,37,3,1,1,30,882.12,0,21.515121951219513
6,0,41,1,3275,35,494,13,3,1,1,30,2108.4,0,51.424390243902444
11,0,40,0,15665,190,161,35,2,1,1,25,1437.975,0,35.949374999999996
5,0,40,1,6680,94,197,31,3,1,1,30,1058.96,0,26.474
2,0,40,0,1055,22,11,16,2,1,2,25,97.965,0,2.449125
4,0,41,0,890,22,24,13,3,1,2,30,132.48,0,3.2312195121951217
2,0,40,0,180,8,11,5,2,1,2,25,57.96,1,1.449
5,0,40,0,7688,135,395,48,2,1,1,25,2129.535,0,53.238375
9,0,40,1,11645,162,22,52,4,1,1,45,350.175,0,8.754375
10,0,40,1,6898,83,119,42,2,1,1,25,849.645,0,21.241125
25,1,36,0,1135,55,27,22,2,1,2,25,175.05,1,4.862500000000001
23,0,39,8,10615,101,12,47,5,1,1,55,178.74,0,4.5830769230769235
15,0,39,1,5998,106,37,29,2,1,1,25,441.18,0,11.312307692307693
3,0,37,0,3020,30,11,19,3,1,1,30,166.0,0,4.486486486486487
11,1,38,0,3170,49,20,21,3,1,2,30,208.76,1,5.4936842105263155
11,1,39,0,2448,52,45,36,3,1,2,30,280.0,1,7.17948717948718
2,1,39,0,313,10,11,7,3,1,2,30,56.92,1,1.4594871794871795
3,0,39,0,1848,33,11,11,3,1,1,30,119.24,0,3.0574358974358975
5,0,36,1,6965,105,25,27,5,1,1,55,143.55,0,3.9875000000000003
2,0,39,0,808,15,20,9,4,1,2,45,70.575,1,1.8096153846153846
2,0,39,1,518,12,15,7,5,1,1,55,30.45,0,0.7807692307692308
27,1,34,3,16255,246,11,85,2,1,1,25,792.045,0,23.295441176470586
8,0,37,3,7145,124,282,38,2,2,1,25,1596.105,0,43.137972972972975
4,0,39,0,3898,90,13,33,2,1,1,25,237.96,0,6.101538461538461
5,0,38,0,1845,52,49,25,3,1,2,30,271.88,0,7.154736842105263
8,0,39,0,2960,61,186,28,2,1,1,25,972.945,0,24.947307692307692
6,1,30,1,1495,44,204,16,2,2,1,25,987.255,1,32.9085
6,0,29,0,1748,47,41,73,4,1,1,45,147.375,0,5.081896551724138
13,0,30,0,880,33,21,12,2,1,2,25,135.585,0,4.5195
2,0,29,0,1005,18,32,8,4,1,2,45,105.575,0,3.6405172413793103
12,0,28,0,1405,40,30,18,2,1,1,25,200.025,0,7.14375
4,0,28,0,3405,69,19,28,3,1,1,30,214.96,0,7.677142857142857
4,0,21,0,1875,34,39,19,2,1,1,25,261.405,0,12.447857142857142
18,0,20,1,6573,149,96,47,2,2,1,25,734.49,0,36.7245
14,0,18,0,9113,179,84,45,4,1,1,45,442.3,0,24.572222222222223
10,0,19,3,3033,53,42,24,3,1,1,30,291.44,0,15.338947368421053
4,0,12,1,4570,48,226,15,3,1,1,30,1088.72,0,90.72666666666667
5,0,12,1,1668,27,11,12,3,1,1,30,111.8,1,9.316666666666666
6,0,35,0,4190,63,0,12,3,1,1,30,170.12,0,4.860571428571428
0,0,36,0,0,0,0,0,2,1,2,25,0.0,0,0.0
8,0,34,0,2273,52,348,19,3,1,1,30,1485.0,0,43.6764705882353
8,0,35,0,4018,58,0,30,1,1,1,15,224.18,0,6.405142857142858
1,0,35,0,2213,50,0,28,1,1,1,15,124.465,0,3.556142857142857
9,0,35,1,3595,74,21,23,3,1,1,30,230.76,0,6.5931428571428565
2,0,35,0,2180,31,274,13,3,1,1,30,1184.44,0,33.841142857142856
11,0,34,2,8935,113,133,38,3,1,1,30,893.92,0,26.29176470588235
5,0,35,0,13593,161,0,39,3,1,1,30,550.16,0,15.718857142857141
5,0,35,1,4335,75,0,20,3,1,1,30,176.4,0,5.04
4,0,35,0,5738,87,0,7,3,1,1,30,233.0,0,6.6571428571428575
7,0,35,0,2058,46,0,12,3,1,2,30,84.16,0,2.4045714285714284
23,0,35,3,14960,217,43,27,3,1,1,30,779.08,0,22.259428571428572
2,0,35,1,2915,19,472,3,3,1,1,30,2005.36,0,57.296
7,0,34,0,15305,174,139,25,2,1,1,25,1322.055,0,38.88397058823529
1,0,34,1,6320,78,175,21,3,1,1,30,955.92,0,28.115294117647057
0,0,34,0,695,6,0,6,2,1,2,25,31.545,0,0.9277941176470589
0,0,35,0,530,6,2,3,3,1,2,30,29.44,0,0.8411428571428572
0,1,34,0,0,0,0,0,2,1,2,25,0.0,1,0.0
1,0,34,0,7328,119,373,38,2,1,1,25,2013.615,0,59.2239705882353
5,0,34,1,11285,146,0,42,4,1,1,45,285.775,0,8.405147058823529
6,0,34,1,6538,67,97,32,2,1,1,25,733.725,0,21.58014705882353
21,1,30,0,775,39,5,12,2,1,2,25,59.13,1,1.971
19,0,33,8,10255,85,0,37,5,1,1,55,155.1,0,4.7
11,1,33,1,5638,90,15,19,2,1,1,25,325.26,1,9.856363636363636
0,0,31,0,2660,14,0,9,3,1,1,30,106.96,0,3.450322580645161
7,0,32,0,2810,33,0,11,3,1,2,30,113.72,1,3.55375
7,1,33,0,2088,36,23,26,3,1,2,30,176.96,1,5.362424242424242
0,0,33,0,0,0,0,0,3,1,2,30,0.0,1,0.0
0,0,33,0,1488,17,0,1,3,1,1,30,60.2,0,1.8242424242424242
1,0,30,1,6605,89,3,17,5,1,1,55,104.91,0,3.497
0,0,33,0,0,0,0,0,4,1,2,45,0.0,1,0.0
0,0,33,0,0,0,0,0,5,1,1,55,0.0,0,0.0
23,0,28,3,15895,230,0,75,2,1,1,25,725.625,0,25.915178571428573
4,0,31,3,6785,108,260,28,2,2,1,25,1480.185,0,47.747903225806446
0,0,33,0,3538,74,0,23,2,1,1,25,162.54,0,4.925454545454545
1,0,32,0,1485,36,27,15,3,1,2,30,168.84,0,5.27625
4,0,33,0,2600,45,164,18,2,1,1,25,857.025,0,25.970454545454544
2,0,24,1,1135,28,182,6,2,2,1,25,871.335,0,36.305625
2,0,23,0,1388,31,19,63,4,1,1,45,82.975,0,3.6076086956521736
9,0,24,0,520,17,0,2,2,1,2,25,24.165,0,1.006875
0,0,23,0,0,0,10,0,4,1,2,45,25.0,0,1.0869565217391304
8,0,22,0,1045,24,8,8,2,1,1,25,84.105,0,3.8229545454545457
0,0,22,0,3045,53,0,18,3,1,1,30,123.92,0,5.632727272727273
0,0,15,0,1515,18,17,9,2,1,1,25,145.485,0,9.699000000000002
14,0,14,1,6213,133,74,37,2,2,1,25,618.57,0,44.18357142857143
10,0,12,0,8753,163,62,35,4,1,1,45,377.9,0,31.491666666666664
6,0,13,3,2673,37,20,14,3,1,1,30,188.4,0,14.492307692307692
0,0,6,1,4210,32,204,5,3,1,1,30,985.68,0,164.28
1,0,6,1,1308,11,0,2,3,1,1,30,52.76,1,8.793333333333333
12,0,38,2,4970,81,26,32,3,1,1,30,306.04,0,8.053684210526317
4,0,39,0,918,15,28,19,3,1,2,30,149.32,0,3.8287179487179483
14,0,37,2,3053,70,380,39,3,1,1,30,1644.92,0,44.4572972972973
14,0,38,2,4798,76,22,50,1,1,1,15,389.07,0,10.238684210526316
7,0,38,2,2993,68,23,48,2,1,1,25,241.245,0,6.348552631578947
15,0,38,3,4375,92,53,43,3,1,1,30,390.68,0,10.281052631578948
8,0,38,2,2960,49,306,33,3,1,1,30,1344.36,0,35.3778947368421
17,0,37,4,9715,131,165,58,3,2,1,30,1053.84,0,28.48216216216216
11,0,38,2,14373,179,21,59,3,1,1,30,666.08,0,17.52842105263158
11,0,38,3,5115,93,23,40,3,1,1,30,300.32,0,7.903157894736842
10,0,38,2,6518,105,28,27,3,1,1,30,376.92,0,9.918947368421053
13,0,38,0,2838,64,29,32,3,1,2,30,232.08,0,6.107368421052632
29,0,38,5,15740,235,75,47,3,1,1,30,939.0,0,24.710526315789473
8,0,38,3,3695,37,504,23,3,1,1,30,2165.28,0,56.981052631578955
13,0,37,2,16085,192,171,45,2,1,1,25,1501.965,0,40.593648648648646
7,0,37,3,7100,96,207,41,3,1,1,30,1115.84,0,30.157837837837835
4,0,37,0,1475,24,21,26,2,1,2,25,161.955,0,4.377162162162162
6,0,38,0,1310,24,34,23,3,1,2,30,189.36,0,4.983157894736842
4,0,37,0,600,10,21,15,2,1,2,25,121.95,1,3.295945945945946
7,0,37,2,8108,137,405,58,3,1,1,30,1949.8,0,52.6972972972973
11,0,37,3,12065,164,32,62,4,1,1,45,385.725,0,10.425
12,0,37,3,7318,85,129,52,2,1,1,25,913.635,0,24.69283783783784
27,1,33,0,1555,57,37,32,3,1,2,30,212.48,1,6.4387878787878785
25,0,36,10,11035,103,22,57,5,2,1,55,200.07,0,5.5575
17,0,36,3,6418,108,47,39,2,1,1,25,505.17,0,14.0325
5,0,34,2,3440,32,21,29,3,1,1,30,222.88,0,6.555294117647058
13,1,35,0,3590,51,30,31,3,1,2,30,265.64,1,7.589714285714285
13,1,36,0,2868,54,55,46,3,1,2,30,336.88,1,9.357777777777777
4,0,36,0,733,12,21,17,3,1,2,30,113.8,1,3.161111111111111
5,0,36,2,2268,35,21,21,4,1,1,45,110.075,0,3.057638888888889
7,0,33,3,7385,107,35,37,5,1,1,55,164.88,0,4.996363636363636
4,0,36,0,1228,17,30,19,4,1,2,45,106.125,1,2.9479166666666665
4,0,36,3,938,14,25,17,5,1,1,55,51.78,0,1.4383333333333335
29,0,31,5,16675,248,21,95,2,1,1,25,856.035,0,27.614032258064515
10,0,34,5,7565,126,292,48,2,2,1,25,1660.095,0,48.826323529411766
6,0,36,2,4318,92,23,43,3,1,1,30,268.4,0,7.455555555555555
7,1,35,0,2265,54,59,35,3,1,2,30,328.76,1,9.393142857142857
10,0,36,2,3380,63,196,38,2,1,1,25,1036.935,0,28.803749999999997
8,0,27,3,1915,46,214,26,2,2,1,25,1051.245,0,38.934999999999995
8,0,26,2,2168,49,51,83,4,1,1,45,182.925,0,7.035576923076923
15,0,27,0,1300,35,31,22,3,1,2,30,177.4,0,6.57037037037037
4,0,26,0,1425,20,42,18,4,1,2,45,141.125,0,5.427884615384615
14,0,25,2,1825,42,40,28,2,1,1,25,264.015,0,10.560599999999999
6,0,25,2,3825,71,29,38,3,1,1,30,271.84,0,10.8736
6,0,18,2,2295,36,49,29,2,1,1,25,325.395,0,18.0775
20,0,17,3,6993,151,106,57,2,2,1,25,798.48,0,46.96941176470588
16,0,15,2,9533,181,94,55,5,1,1,55,286.71,0,19.113999999999997
12,0,16,5,3453,55,52,34,3,1,1,30,348.32,0,21.77
6,0,9,3,4990,50,236,25,3,1,1,30,1145.6,0,127.28888888888888
7,1,9,3,2088,29,21,22,3,1,1,30,168.68,1,18.742222222222225
4,0,38,0,3770,61,0,2,2,1,1,25,172.395,0,4.536710526315789
0,0,39,0,0,0,0,0,2,1,2,25,0.0,0,0.0
6,0,37,0,1853,50,338,9,2,1,1,25,1606.635,0,43.42256756756757
6,0,38,0,3598,56,0,20,1,1,1,15,200.97,0,5.288684210526315
0,0,38,0,1793,48,0,18,1,1,1,15,101.255,0,2.6646052631578945
7,0,38,0,3175,72,11,13,3,1,1,30,173.88,0,4.57578947368421
0,0,38,0,1760,29,264,3,3,1,1,30,1127.56,0,29.672631578947367
9,0,37,0,8515,111,123,28,3,1,1,30,837.04,0,22.622702702702703
3,0,38,0,13173,159,0,29,3,1,1,30,533.28,0,14.033684210526316
3,0,38,0,3915,73,0,10,3,1,1,30,159.52,0,4.197894736842105
2,0,38,0,5318,85,0,15,2,1,1,25,243.135,0,6.39828947368421
5,0,38,0,1638,44,0,2,3,1,2,30,67.28,0,1.7705263157894737
21,0,38,1,14540,215,33,17,3,1,1,30,722.2,0,19.00526315789474
0,0,38,0,2495,17,462,7,3,1,1,30,1948.48,0,51.27578947368421
5,0,37,0,14885,172,129,15,2,1,1,25,1258.065,0,34.001756756756755
0,0,37,0,5900,76,165,11,3,1,1,30,899.04,0,24.298378378378377
0,0,37,0,275,4,0,1,2,1,2,25,12.555,0,0.3393243243243243
0,0,38,0,110,4,0,1,2,1,2,25,5.13,0,0.135
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1,0.0
0,0,37,0,6908,117,363,28,2,1,1,25,1949.625,0,52.692567567567565
3,0,37,0,10865,144,0,32,3,1,1,30,440.36,0,11.901621621621622
4,0,37,0,6118,65,87,22,2,1,1,25,669.735,0,18.100945945945945
19,0,33,0,355,37,0,2,2,1,2,25,17.64,1,0.5345454545454545
17,0,36,6,9835,83,0,27,4,1,1,45,247.95,0,6.887499999999999
9,1,36,0,5218,88,5,9,2,1,1,25,261.27,1,7.257499999999999
0,0,34,0,2240,12,0,4,3,1,1,30,90.08,0,2.6494117647058824
5,0,35,0,2390,31,0,1,3,1,2,30,96.84,1,2.766857142857143
5,0,36,0,1668,34,13,16,3,1,2,30,120.08,1,3.3355555555555556
0,0,36,0,0,0,0,0,3,1,2,30,0.0,1,0.0
0,0,36,0,1068,15,0,3,3,1,1,30,43.32,0,1.2033333333333334
0,0,33,0,6185,87,0,7,4,1,1,45,156.8,0,4.751515151515152
0,0,36,0,0,0,0,0,4,1,2,45,0.0,1,0.0
0,0,36,0,0,0,0,0,5,1,1,55,0.0,0,0.0
21,0,31,1,15475,228,0,65,2,1,1,25,706.635,0,22.794677419354837
2,0,34,1,6365,106,250,18,2,2,1,25,1416.195,0,41.652794117647055
0,0,36,0,3118,72,0,13,2,1,1,25,143.55,0,3.9875000000000003
0,0,35,0,1065,34,17,5,3,1,2,30,111.96,0,3.198857142857143
2,0,36,0,2180,43,154,8,2,1,1,25,793.035,0,22.02875
0,0,27,0,715,26,172,1,2,2,1,25,807.345,0,29.901666666666667
0,0,26,0,968,29,9,53,4,1,1,45,47.425,0,1.8240384615384615
7,0,27,0,100,15,0,3,2,1,2,25,5.175,0,0.19166666666666665
0,0,26,0,0,0,0,0,4,1,2,45,0.0,0,0.0
6,0,25,0,625,22,0,2,2,1,1,25,29.115,0,1.1645999999999999
0,0,25,0,2625,51,0,8,3,1,1,30,107.04,0,4.2816
0,0,18,0,1095,16,7,6,2,1,1,25,81.495,0,4.5275
12,0,17,0,5793,131,64,27,1,2,1,15,677.82,0,39.871764705882356
8,0,15,0,8333,161,52,25,4,1,1,45,342.35,0,22.823333333333334
4,0,16,1,2253,35,10,4,3,1,1,30,131.52,0,8.22
0,0,9,0,3790,30,194,23,3,1,1,30,928.8,0,103.19999999999999
0,1,9,0,888,9,0,3,3,1,1,30,35.88,1,3.986666666666667
8,0,39,1,4485,77,37,21,3,1,1,30,330.48,0,8.473846153846154
0,0,40,0,433,11,39,8,3,1,2,30,173.76,0,4.343999999999999
10,0,38,1,2568,66,391,28,3,1,1,30,1669.36,0,43.93052631578947
10,0,39,1,4313,72,33,39,1,1,1,15,422.675,0,10.837820512820514
3,0,39,1,2508,64,34,37,2,1,1,25,268.74,0,6.890769230769231
11,0,39,2,3890,88,64,32,3,1,1,30,415.12,0,10.644102564102564
4,0,39,1,2475,45,317,22,4,1,1,45,855.5,0,21.935897435897434
13,0,38,3,9230,127,176,47,3,1,1,30,1078.28,0,28.37578947368421
7,0,39,1,13888,175,32,48,3,1,1,30,690.52,0,17.705641025641025
7,0,39,2,4630,89,34,29,3,1,1,30,324.76,0,8.327179487179487
6,0,39,1,6033,101,39,16,3,1,1,30,401.36,0,10.291282051282051
9,1,39,0,2353,60,40,21,3,1,2,30,256.52,0,6.577435897435897
25,0,39,4,15255,231,86,36,3,1,1,30,963.44,0,24.703589743589745
4,0,39,2,3210,33,515,12,4,1,1,45,1368.575,0,35.09166666666667
9,0,38,1,15600,188,182,34,2,1,1,25,1529.46,0,40.24894736842106
3,0,38,2,6615,92,218,30,3,1,1,30,1140.28,0,30.007368421052632
0,0,38,0,990,20,32,15,2,1,2,25,189.45,0,4.985526315789474
2,0,39,0,825,20,45,12,3,1,2,30,213.8,0,5.482051282051282
0,0,38,0,115,6,32,4,2,1,2,25,149.445,1,3.932763157894737
3,0,38,1,7623,133,416,47,3,1,1,30,1974.24,0,51.95368421052632
7,0,38,2,11580,160,43,51,4,1,1,45,401.0,0,10.552631578947368
8,0,38,2,6833,81,140,41,2,1,1,25,941.13,0,24.76657894736842
23,1,34,0,1070,53,48,21,3,1,2,30,236.92,1,6.968235294117647
21,0,37,9,10550,99,33,46,5,1,1,55,209.235,0,5.655
13,0,37,2,5933,104,58,28,3,1,1,30,473.48,0,12.796756756756757
1,0,35,1,2955,28,32,18,3,1,1,30,247.32,0,7.066285714285714
9,1,36,0,3105,47,41,20,3,1,2,30,290.08,1,8.057777777777778
9,0,37,0,2383,50,66,35,4,1,2,45,225.825,1,6.103378378378378
0,0,37,0,248,8,32,6,3,1,2,30,138.24,1,3.7362162162162162
1,0,37,1,1783,31,32,10,4,1,1,45,125.35,0,3.3878378378378375
3,0,34,2,6900,103,46,26,5,1,1,55,174.045,0,5.118970588235293
0,0,37,0,743,13,41,8,4,1,2,45,121.4,1,3.2810810810810813
0,0,37,2,453,10,36,6,5,1,1,55,60.945,0,1.6471621621621622
25,0,32,4,16190,244,32,84,2,2,1,25,883.53,0,27.6103125
6,0,35,4,7080,122,303,37,3,2,1,30,1500.08,0,42.859428571428566
2,0,37,1,3833,88,34,32,3,1,1,30,292.84,0,7.914594594594594
3,0,36,0,1780,50,70,24,4,1,2,45,220.75,0,6.131944444444445
6,0,37,1,2895,59,207,27,2,1,1,25,1064.43,0,28.76837837837838
4,0,28,2,1430,42,225,15,3,2,1,30,958.88,0,34.245714285714286
4,0,27,1,1683,45,62,72,5,1,1,55,118.92,0,4.404444444444445
11,0,28,0,815,31,42,11,3,1,2,30,201.84,0,7.208571428571429
0,0,27,0,940,16,53,7,4,1,2,45,156.4,0,5.792592592592593
10,0,26,1,1340,38,51,17,2,1,1,25,291.51,0,11.211923076923076
2,0,26,1,3340,67,40,27,3,1,1,30,296.28,0,11.395384615384614
2,0,19,1,1810,32,60,18,3,1,1,30,313.68,0,16.509473684210526
16,0,18,2,6508,147,117,46,2,2,1,25,825.975,0,45.8875
12,0,16,1,9048,177,105,44,5,1,1,55,295.875,0,18.4921875
8,0,17,4,2968,51,63,23,3,2,1,30,372.76,0,21.92705882352941
2,0,10,2,4505,46,247,14,3,1,1,30,1170.04,0,117.00399999999999
3,0,10,2,1603,25,32,11,3,1,1,30,193.12,1,19.312
8,0,37,0,4255,65,0,13,2,1,1,25,194.4,0,5.254054054054055
0,0,38,0,0,0,0,0,2,1,2,25,0.0,0,0.0
10,0,36,0,2338,54,327,20,2,1,1,25,1579.14,0,43.865
10,0,37,0,4083,60,0,31,1,1,1,15,227.865,0,6.158513513513514
3,0,37,0,2278,52,0,29,1,1,1,15,128.15,0,3.4635135135135138
11,0,37,0,3660,76,0,24,2,1,1,25,168.12,0,4.543783783783784
4,0,37,0,2245,33,253,14,3,1,1,30,1103.12,0,29.81405405405405
13,0,36,1,9000,115,112,39,3,1,1,30,812.6,0,22.572222222222223
7,0,37,0,13658,163,0,40,3,1,1,30,552.84,0,14.941621621621623
7,0,37,0,4400,77,0,21,3,1,1,30,179.08,0,4.840000000000001
6,0,37,0,5803,89,0,8,2,1,1,25,265.14,0,7.165945945945945
9,0,37,0,2123,48,0,13,3,1,2,30,86.84,0,2.347027027027027
25,0,37,2,15025,219,22,28,3,1,1,30,697.76,0,18.85837837837838
4,0,37,0,2980,21,451,4,3,1,1,30,1924.04,0,52.00108108108108
9,0,36,0,15370,176,118,26,2,1,1,25,1230.57,0,34.1825
3,0,36,0,6385,80,154,22,3,1,1,30,874.6,0,24.294444444444444
0,0,36,0,760,8,0,7,2,1,2,25,34.56,0,0.9600000000000001
2,0,37,0,595,8,0,4,2,1,2,25,27.135,0,0.7333783783783784
0,1,36,0,0,0,0,0,2,1,2,25,0.0,1,0.0
3,0,36,0,7393,121,352,39,2,1,1,25,1922.13,0,53.392500000000005
7,0,36,0,11350,148,0,43,3,1,1,30,459.92,0,12.775555555555556
8,0,36,0,6603,69,76,33,2,1,1,25,642.24,0,17.84
23,0,32,0,840,41,0,13,2,1,2,25,39.645,1,1.23890625
21,0,35,7,10320,87,0,38,4,2,1,45,260.175,0,7.433571428571429
13,1,35,0,5703,92,0,20,2,1,1,25,260.775,1,7.450714285714285
1,0,33,0,2725,16,0,10,3,1,1,30,109.64,0,3.3224242424242423
9,1,34,0,2875,35,0,12,2,1,2,25,130.95,1,3.8514705882352938
9,0,35,0,2153,38,2,27,3,1,2,30,95.64,1,2.7325714285714287
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1,0.0
1,0,35,0,1553,19,0,2,3,1,1,30,62.88,0,1.7965714285714287
3,0,32,0,6670,91,0,18,4,1,1,45,169.025,0,5.28203125
0,0,35,0,513,1,0,3,4,1,2,45,12.85,1,0.36714285714285716
0,0,35,0,0,0,0,0,4,1,1,45,0.0,0,0.0
25,0,30,2,15960,232,0,76,2,1,1,25,728.64,0,24.288
6,0,33,2,6850,110,239,29,2,2,1,25,1388.7,0,42.081818181818186
2,0,35,0,3603,76,0,24,2,1,1,25,165.555,0,4.730142857142857
3,0,34,0,1550,38,6,16,3,1,2,30,87.52,0,2.5741176470588236
6,0,35,0,2665,47,143,19,2,1,1,25,765.54,0,21.872571428571426
4,0,26,0,1200,30,161,7,2,2,1,25,779.85,0,29.99423076923077
4,0,25,0,1453,33,0,64,4,1,1,45,37.15,0,1.486
11,0,26,0,585,19,0,3,2,1,2,25,27.18,0,1.0453846153846154
0,0,25,0,710,4,0,1,4,1,2,45,17.85,0,0.7140000000000001
10,0,24,0,1110,26,0,9,2,1,1,25,51.12,0,2.13
2,0,24,0,3110,55,0,19,3,1,1,30,126.6,0,5.2749999999999995
2,0,17,0,1580,20,0,10,2,1,1,25,72.0,0,4.235294117647059
16,0,16,0,6278,135,53,38,1,2,1,15,644.215,0,40.2634375
12,0,14,0,8818,165,41,36,4,1,1,45,327.075,0,23.3625
8,0,15,2,2738,39,0,15,3,1,1,30,111.08,0,7.405333333333333
2,0,8,0,4275,34,183,6,3,1,1,30,904.36,0,113.045
3,1,8,0,1373,13,0,3,2,1,1,25,62.37,1,7.79625
10,0,38,0,4560,72,14,20,3,1,1,30,241.28,0,6.349473684210526
2,0,39,0,508,6,16,7,2,1,2,25,95.13,0,2.439230769230769
12,0,37,0,2643,61,368,27,3,1,1,30,1580.16,0,42.70702702702703
12,0,38,0,4388,67,10,38,1,1,1,15,300.025,0,7.895394736842104
5,0,38,0,2583,59,11,36,1,1,1,15,205.81,0,5.416052631578947
13,0,38,1,3965,83,41,31,3,1,1,30,325.92,0,8.57684210526316
6,0,38,0,2550,40,294,21,3,1,1,30,1279.6,0,33.67368421052631
15,0,37,2,9305,122,153,46,3,1,1,30,989.08,0,26.731891891891895
9,0,38,0,13963,170,9,47,3,1,1,30,601.32,0,15.82421052631579
9,0,38,1,4705,84,11,28,3,1,1,30,235.56,0,6.198947368421052
8,0,38,0,6108,96,16,15,3,1,1,30,312.16,0,8.214736842105264
11,1,38,0,2428,55,17,20,3,1,2,30,167.32,0,4.403157894736842
27,0,38,3,15330,226,63,35,3,1,1,30,874.24,0,23.006315789473685
6,0,38,1,3285,28,492,11,3,1,1,30,2100.52,0,55.27684210526316
11,0,37,0,15675,183,159,33,2,1,1,25,1429.11,0,38.62459459459459
5,0,37,1,6690,87,195,29,3,1,1,30,1051.08,0,28.407567567567565
2,0,37,0,1065,15,9,14,2,1,2,25,89.1,0,2.408108108108108
4,0,38,0,900,15,22,11,3,1,2,30,124.6,0,3.2789473684210524
2,0,37,0,190,1,9,3,2,1,2,25,49.095,1,1.326891891891892
5,0,37,0,7698,128,393,46,2,1,1,25,2120.67,0,57.31540540540541
9,0,37,1,11655,155,20,50,4,1,1,45,345.25,0,9.33108108108108
10,0,37,1,6908,76,117,40,2,1,1,25,840.78,0,22.723783783783784
25,1,33,0,1145,48,25,20,2,1,2,25,166.185,1,5.035909090909091
23,0,36,8,10625,94,10,45,5,1,1,55,175.785,0,4.882916666666667
15,0,36,1,6008,99,35,27,2,1,1,25,432.315,1,12.00875
3,0,34,0,3030,23,9,17,3,1,1,30,158.12,0,4.6505882352941175
11,1,35,0,3180,42,18,19,3,1,2,30,200.88,1,5.739428571428571
11,1,36,0,2458,45,43,34,3,1,2,30,272.12,1,7.558888888888889
2,0,36,0,323,3,9,5,3,1,2,30,49.04,1,1.3622222222222222
3,0,36,0,1858,26,9,9,3,1,1,30,111.36,0,3.0933333333333333
5,0,33,1,6975,98,23,25,5,1,1,55,140.595,0,4.260454545454546
2,0,36,0,818,8,18,7,4,1,2,45,65.65,1,1.8236111111111113
2,0,36,1,528,5,13,5,5,1,1,55,27.495,0,0.76375
27,0,31,3,16265,239,9,83,2,1,1,25,783.18,0,25.263870967741934
8,0,34,3,7155,117,280,36,2,2,1,25,1587.24,0,46.68352941176471
4,0,36,0,3908,83,11,31,2,1,1,25,229.095,0,6.36375
5,0,35,0,1855,45,47,23,3,1,2,30,264.0,0,7.542857142857143
8,0,36,0,2970,54,184,26,2,1,1,25,964.08,0,26.78
6,1,27,1,1505,37,202,14,2,2,1,25,978.39,1,36.236666666666665
6,0,26,0,1758,40,39,71,4,1,1,45,142.45,0,5.4788461538461535
13,0,27,0,890,26,19,10,2,1,2,25,126.72,0,4.693333333333333
2,0,26,0,1015,11,30,6,4,1,2,45,100.65,0,3.871153846153846
12,0,25,0,1415,33,28,16,2,1,1,25,191.16,0,7.6464
4,0,25,0,3415,62,17,26,3,1,1,30,207.08,0,8.2832
4,0,18,0,1885,27,37,17,2,1,1,25,252.54,0,14.03
18,0,17,1,6582,142,94,45,2,2,1,25,725.58,0,42.68117647058824
14,0,15,0,9122,172,82,43,4,1,1,45,437.35,0,29.15666666666667
10,0,16,3,3042,46,40,22,3,1,1,30,283.52,0,17.72
4,0,9,1,4580,41,224,13,3,1,1,30,1080.84,0,120.09333333333332
5,0,9,1,1677,20,9,10,3,1,1,30,103.88,1,11.542222222222222
6,0,38,0,4180,70,0,14,3,1,1,30,170.0,0,4.473684210526316
0,0,39,0,128,4,0,1,2,1,2,25,5.94,0,0.1523076923076923
8,0,37,0,2263,59,350,21,3,1,1,30,1492.88,0,40.348108108108114
8,0,38,0,4008,65,0,32,1,1,1,15,224.015,0,5.895131578947368
1,0,38,0,2203,57,0,30,1,1,1,15,124.3,0,3.2710526315789474
9,0,38,1,3585,81,23,25,3,1,1,30,238.64,0,6.279999999999999
2,0,38,0,2170,38,276,15,3,1,1,30,1192.32,0,31.376842105263155
11,0,37,2,8925,120,135,40,3,1,1,30,901.8,0,24.37297297297297
5,0,38,0,13583,168,0,41,3,1,1,30,550.04,0,14.474736842105262
5,0,38,1,4325,82,0,22,3,1,1,30,176.28,0,4.638947368421053
4,0,38,0,5728,94,0,9,3,1,1,30,232.88,0,6.1284210526315785
7,0,38,0,2048,53,0,14,3,1,2,30,84.04,0,2.2115789473684213
23,0,38,3,14950,224,45,29,3,1,1,30,786.96,0,20.709473684210526
2,0,38,1,2905,26,474,5,3,1,1,30,2013.24,0,52.98
7,0,37,0,15295,181,141,27,2,1,1,25,1330.92,0,35.97081081081081
1,0,37,1,6310,85,177,23,3,1,1,30,963.8,0,26.048648648648648
0,0,37,0,685,13,0,8,2,1,2,25,31.41,0,0.8489189189189189
0,0,38,0,520,13,4,5,3,1,2,30,37.32,0,0.9821052631578947
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1,0.0
1,0,37,0,7318,126,375,40,2,1,1,25,2022.48,0,54.66162162162162
5,0,37,1,11275,153,2,44,4,1,1,45,290.7,0,7.856756756756757
6,0,37,1,6528,74,99,34,2,1,1,25,742.59,0,20.07
21,0,33,0,765,46,7,14,2,1,2,25,67.995,1,2.0604545454545455
